[PowderLattice 1]
2.0*thetadeg
  85.69878 1.0   -12    -4    -5
  83.10790 1.0   -12    -4    -4
  81.08320 1.0   -12    -4    -3
  79.63024 1.0   -12    -4    -2
  78.75528 1.0   -12    -4    -1
  78.46304 1.0   -12    -4     0
  78.75528 1.0   -12    -4     1
  79.63024 1.0   -12    -4     2
  81.08320 1.0   -12    -4     3
  83.10790 1.0   -12    -4     4
  85.69878 1.0   -12    -4     5
  88.85401 1.0   -12    -4     6
  86.84714 1.0   -12    -3    -6
  83.68468 1.0   -12    -3    -5
  81.08320 1.0   -12    -3    -4
  79.04722 1.0   -12    -3    -3
  77.58447 1.0   -12    -3    -2
  76.70293 1.0   -12    -3    -1
  76.40838 1.0   -12    -3     0
  76.70293 1.0   -12    -3     1
  77.58447 1.0   -12    -3     2
  79.04722 1.0   -12    -3     3
  81.08320 1.0   -12    -3     4
  83.68468 1.0   -12    -3     5
  86.84714 1.0   -12    -3     6
  89.14053 1.0   -12    -2    -7
  85.41143 1.0   -12    -2    -6
  82.24138 1.0   -12    -2    -5
  79.63024 1.0   -12    -2    -4
  77.58447 1.0   -12    -2    -3
  76.11346 1.0   -12    -2    -2
  75.22641 1.0   -12    -2    -1
  74.92994 1.0   -12    -2     0
  75.22641 1.0   -12    -2     1
  76.11346 1.0   -12    -2     2
  77.58447 1.0   -12    -2     3
  79.63024 1.0   -12    -2     4
  82.24138 1.0   -12    -2     5
  85.41143 1.0   -12    -2     6
  89.14053 1.0   -12    -2     7
  88.28087 1.0   -12    -1    -7
  84.54868 1.0   -12    -1    -6
  81.37307 1.0   -12    -1    -5
  78.75528 1.0   -12    -1    -4
  76.70293 1.0   -12    -1    -3
  75.22641 1.0   -12    -1    -2
  74.33573 1.0   -12    -1    -1
  74.03799 1.0   -12    -1     0
  74.33573 1.0   -12    -1     1
  75.22641 1.0   -12    -1     2
  76.70293 1.0   -12    -1     3
  78.75528 1.0   -12    -1     4
  81.37307 1.0   -12    -1     5
  84.54868 1.0   -12    -1     6
  88.28087 1.0   -12    -1     7
  87.99424 1.0   -12     0    -7
  84.26083 1.0   -12     0    -6
  81.08320 1.0   -12     0    -5
  78.46304 1.0   -12     0    -4
  76.40838 1.0   -12     0    -3
  74.92994 1.0   -12     0    -2
  74.03799 1.0   -12     0    -1
  73.73980 1.0   -12     0     0
  74.03799 1.0   -12     0     1
  74.92994 1.0   -12     0     2
  76.40838 1.0   -12     0     3
  78.46304 1.0   -12     0     4
  81.08320 1.0   -12     0     5
  84.26083 1.0   -12     0     6
  87.99424 1.0   -12     0     7
  88.28087 1.0   -12     1    -7
  84.54868 1.0   -12     1    -6
  81.37307 1.0   -12     1    -5
  78.75528 1.0   -12     1    -4
  76.70293 1.0   -12     1    -3
  75.22641 1.0   -12     1    -2
  74.33573 1.0   -12     1    -1
  74.03799 1.0   -12     1     0
  74.33573 1.0   -12     1     1
  75.22641 1.0   -12     1     2
  76.70293 1.0   -12     1     3
  78.75528 1.0   -12     1     4
  81.37307 1.0   -12     1     5
  84.54868 1.0   -12     1     6
  88.28087 1.0   -12     1     7
  89.14053 1.0   -12     2    -7
  85.41143 1.0   -12     2    -6
  82.24138 1.0   -12     2    -5
  79.63024 1.0   -12     2    -4
  77.58447 1.0   -12     2    -3
  76.11346 1.0   -12     2    -2
  75.22641 1.0   -12     2    -1
  74.92994 1.0   -12     2     0
  75.22641 1.0   -12     2     1
  76.11346 1.0   -12     2     2
  77.58447 1.0   -12     2     3
  79.63024 1.0   -12     2     4
  82.24138 1.0   -12     2     5
  85.41143 1.0   -12     2     6
  89.14053 1.0   -12     2     7
  86.84714 1.0   -12     3    -6
  83.68468 1.0   -12     3    -5
  81.08320 1.0   -12     3    -4
  79.04722 1.0   -12     3    -3
  77.58447 1.0   -12     3    -2
  76.70293 1.0   -12     3    -1
  76.40838 1.0   -12     3     0
  76.70293 1.0   -12     3     1
  77.58447 1.0   -12     3     2
  79.04722 1.0   -12     3     3
  81.08320 1.0   -12     3     4
  83.68468 1.0   -12     3     5
  86.84714 1.0   -12     3     6
  88.85401 1.0   -12     4    -6
  85.69878 1.0   -12     4    -5
  83.10790 1.0   -12     4    -4
  81.08320 1.0   -12     4    -3
  79.63024 1.0   -12     4    -2
  78.75528 1.0   -12     4    -1
  78.46304 1.0   -12     4     0
  78.75528 1.0   -12     4     1
  79.63024 1.0   -12     4     2
  81.08320 1.0   -12     4     3
  83.10790 1.0   -12     4     4
  85.69878 1.0   -12     4     5
  88.85401 1.0   -12     4     6
  88.28087 1.0   -12     5    -5
  85.69878 1.0   -12     5    -4
  83.68468 1.0   -12     5    -3
  82.24138 1.0   -12     5    -2
  81.37307 1.0   -12     5    -1
  81.08320 1.0   -12     5     0
  81.37307 1.0   -12     5     1
  82.24138 1.0   -12     5     2
  83.68468 1.0   -12     5     3
  85.69878 1.0   -12     5     4
  88.28087 1.0   -12     5     5
  88.85401 1.0   -12     6    -4
  86.84714 1.0   -12     6    -3
  85.41143 1.0   -12     6    -2
  84.54868 1.0   -12     6    -1
  84.26083 1.0   -12     6     0
  84.54868 1.0   -12     6     1
  85.41143 1.0   -12     6     2
  86.84714 1.0   -12     6     3
  88.85401 1.0   -12     6     4
  89.14053 1.0   -12     7    -2
  88.28087 1.0   -12     7    -1
  87.99424 1.0   -12     7     0
  88.28087 1.0   -12     7     1
  89.14053 1.0   -12     7     2
  90.28648 1.0   -11    -8    -4
  88.28087 1.0   -11    -8    -3
  86.84714 1.0   -11    -8    -2
  85.98601 1.0   -11    -8    -1
  85.69878 1.0   -11    -8     0
  85.98601 1.0   -11    -8     1
  86.84714 1.0   -11    -8     2
  88.28087 1.0   -11    -8     3
  90.28648 1.0   -11    -8     4
  88.56746 1.0   -11    -7    -5
  85.98601 1.0   -11    -7    -4
  83.97283 1.0   -11    -7    -3
  82.53041 1.0   -11    -7    -2
  81.66272 1.0   -11    -7    -1
  81.37307 1.0   -11    -7     0
  81.66272 1.0   -11    -7     1
  82.53041 1.0   -11    -7     2
  83.97283 1.0   -11    -7     3
  85.98601 1.0   -11    -7     4
  88.56746 1.0   -11    -7     5
  87.99424 1.0   -11    -6    -6
  84.83639 1.0   -11    -6    -5
  82.24138 1.0   -11    -6    -4
  80.21218 1.0   -11    -6    -3
  78.75528 1.0   -11    -6    -2
  77.87765 1.0   -11    -6    -1
  77.58447 1.0   -11    -6     0
  77.87765 1.0   -11    -6     1
  78.75528 1.0   -11    -6     2
  80.21218 1.0   -11    -6     3
  82.24138 1.0   -11    -6     4
  84.83639 1.0   -11    -6     5
  87.99424 1.0   -11    -6     6
  88.56746 1.0   -11    -5    -7
  84.83639 1.0   -11    -5    -6
  81.66272 1.0   -11    -5    -5
  79.04722 1.0   -11    -5    -4
  76.99712 1.0   -11    -5    -3
  75.52249 1.0   -11    -5    -2
  74.63305 1.0   -11    -5    -1
  74.33573 1.0   -11    -5     0
  74.63305 1.0   -11    -5     1
  75.52249 1.0   -11    -5     2
  76.99712 1.0   -11    -5     3
  79.04722 1.0   -11    -5     4
  81.66272 1.0   -11    -5     5
  84.83639 1.0   -11    -5     6
  88.56746 1.0   -11    -5     7
  90.28648 1.0   -11    -4    -8
  85.98601 1.0   -11    -4    -7
  82.24138 1.0   -11    -4    -6
  79.04722 1.0   -11    -4    -5
  76.40838 1.0   -11    -4    -4
  74.33573 1.0   -11    -4    -3
  72.84246 1.0   -11    -4    -2
  71.94077 1.0   -11    -4    -1
  71.63919 1.0   -11    -4     0
  71.94077 1.0   -11    -4     1
  72.84246 1.0   -11    -4     2
  74.33573 1.0   -11    -4     3
  76.40838 1.0   -11    -4     4
