M27_Mo2C/1	
θ/2θ, °	Intensity, cps
11.7600002288818	30969.314453125
11.7700004577637	31036.35546875
11.7799997329712	30835.068359375
11.789999961853	30723.1796875
11.8000001907349	31131.546875
11.8100004196167	31428.396484375
11.8199996948242	30999.37109375
11.8299999237061	30385.787109375
11.8400001525879	30901.845703125
11.8500003814697	31479.83203125
11.8599996566772	31191.2265625
11.8699998855591	30465.759765625
11.8800001144409	30228.5703125
11.8900003433228	30980.9453125
11.8999996185303	31885.2890625
11.9099998474121	31592.841796875
11.9200000762939	30786.6875
11.9300003051758	30296.626953125
11.9399995803833	30379.083984375
11.9499998092651	30491.037109375
11.960000038147	30308.146484375
11.9700002670288	30270.01953125
11.9799995422363	30429.861328125
11.9899997711182	30633.81640625
12	31189.03125
12.0100002288818	31243.90234375
12.0200004577637	30713.955078125
12.0299997329712	30739.798828125
12.039999961853	31270.75390625
12.0500001907349	31334.18359375
12.0600004196167	30350.486328125
12.0699996948242	30048.97265625
12.0799999237061	30271.6484375
12.0900001525879	29889.166015625
12.1000003814697	29881.720703125
12.1099996566772	30041.2421875
12.1199998855591	29488.2734375
12.1300001144409	29137.67578125
12.1400003433228	30013.609375
12.1499996185303	30855.861328125
12.1599998474121	30623.1171875
12.1700000762939	30332.41015625
12.1800003051758	30029.326171875
12.1899995803833	29968.3203125
12.1999998092651	30138.67578125
12.210000038147	30181.20703125
12.2200002670288	29894.787109375
12.2299995422363	29791.6640625
12.2399997711182	30073.814453125
12.25	30684.1875
12.2600002288818	30975.662109375
12.2700004577637	30477.353515625
12.2799997329712	30450.46875
12.289999961853	31084.15625
12.3000001907349	31058.896484375
12.3100004196167	30392.802734375
12.3199996948242	29826.447265625
12.3299999237061	29589.017578125
12.3400001525879	30210.39453125
12.3500003814697	30411.01171875
12.3599996566772	29753.150390625
12.3699998855591	29030.099609375
12.3800001144409	29371.890625
12.3900003433228	30320.837890625
12.3999996185303	30502.095703125
12.4099998474121	30048.154296875
12.4200000762939	29520.44921875
12.4300003051758	29450.96484375
12.4399995803833	29703.283203125
12.4499998092651	29364.458984375
12.460000038147	29007.484375
12.4700002670288	28881.791015625
12.4799995422363	29100.78515625
12.4899997711182	29506.21484375
12.5	29453.75
12.5100002288818	29530.67578125
12.5200004577637	29447.390625
12.5299997329712	29351.494140625
12.539999961853	29373.103515625
12.5500001907349	29572.0390625
12.5600004196167	29262.865234375
12.5699996948242	28943.666015625
12.5799999237061	29339.8359375
12.5900001525879	29317.59375
12.6000003814697	29075.779296875
12.6099996566772	29293.046875
