2thetadeg,intx,d-value,sigx,count
4.15029,37.5261,21.27248,0.50178,8308
4.16029,37.8787,21.22138,0.45989,8393
4.17029,37.68612,21.17053,0.53026,8600
4.18029,37.96222,21.11992,0.49306,8445
4.19028,37.78809,21.06954,0.5107,8607
4.20028,38.11263,21.01941,0.45786,8537
4.21028,37.87384,20.96952,0.4657,8677
4.22028,38.06027,20.91986,0.56295,8669
4.23028,37.92451,20.87044,0.53209,8699
4.24028,38.14222,20.82125,0.51139,8794
4.25027,38.20318,20.7723,0.47175,8672
4.26027,38.18622,20.72357,0.50093,8747
4.27027,38.21027,20.67507,0.59072,8698
4.28027,38.27008,20.6268,0.50726,8756
4.29027,38.27783,20.57875,0.45882,8758
4.30027,38.32584,20.53092,0.43699,8668
4.31026,38.1874,20.48332,0.45124,8866
4.32026,38.40057,20.43594,0.50237,8891
4.33026,38.33871,20.38878,0.5056,8906
4.34026,38.52211,20.34183,0.52171,8998
4.35026,38.5264,20.2951,0.53025,8919
4.36026,38.48884,20.24859,0.5549,8985
4.37025,38.58382,20.20228,0.47766,9057
4.38025,38.61911,20.15619,0.5597,9024
4.39025,38.62797,20.11031,0.51545,8832
4.40025,38.59152,20.06464,0.39977,8829
4.41025,38.64399,20.01917,0.42654,9047
4.42024,38.65516,19.97392,0.53482,9040
4.43024,38.83081,19.92886,0.48406,9164
4.44024,38.84039,19.88401,0.56356,9102
4.45024,38.87986,19.83936,0.47713,9148
4.46024,38.82796,19.79491,0.48422,9160
4.47024,38.87498,19.75065,0.5945,9187
4.48023,38.85588,19.7066,0.44527,9260
4.49023,39.01124,19.66274,0.53743,9231
4.50023,38.8682,19.61908,0.49762,9155
4.51023,38.97685,19.57561,0.53228,9086
4.52023,38.92029,19.53233,0.41913,9229
4.53023,39.10941,19.48925,0.45887,9270
4.54022,39.04266,19.44635,0.45693,9411
4.55022,39.10426,19.40364,0.49088,9231
4.56022,39.05723,19.36112,0.48542,9350
4.57022,39.14275,19.31879,0.51656,9333
4.58022,39.14938,19.27664,0.49367,9515
4.59022,39.30014,19.23468,0.46926,9461
4.60021,39.11961,19.19289,0.59388,9388
4.61021,39.2161,19.15129,0.50418,9410
4.62021,39.22922,19.10987,0.44028,9559
4.63021,39.24637,19.06863,0.58055,9496
4.64021,39.16658,19.02756,0.44279,9384
4.65021,39.15866,18.98667,0.43974,9428
4.6602,39.48249,18.94596,0.454,9540
4.6702,39.2484,18.90542,0.48129,9517
4.6802,39.43377,18.86506,0.51855,9693
4.6902,39.33504,18.82486,0.48232,9655
4.7002,39.45738,18.78484,0.50404,9625
4.7102,39.39412,18.74499,0.5398,9684
4.72019,39.4523,18.70531,0.45327,9619
4.73019,39.44283,18.66579,0.45319,9677
4.74019,39.45124,18.62644,0.51106,9749
4.75019,39.56215,18.58726,0.49007,9779
4.76019,39.42884,18.54824,0.48174,9676
4.77018,39.56062,18.50939,0.50694,9777
4.78018,39.51329,18.47069,0.45862,9755
4.79018,39.62811,18.43216,0.43215,9759
4.80018,39.53523,18.39379,0.48824,9865
4.81018,39.6367,18.35558,0.45324,9860
4.82018,39.63053,18.31753,0.54504,9893
4.83017,39.62062,18.27964,0.42272,9796
4.84017,39.61184,18.2419,0.50973,9876
4.85017,39.71404,18.20432,0.54587,10039
4.86017,39.70285,18.16689,0.47838,10081
4.87017,39.71741,18.12962,0.46598,10117
4.88017,39.5863,18.0925,0.53325,9785
4.89016,39.52414,18.05553,0.49084,9855
4.90016,39.74483,18.01871,0.41906,9909
